holding_code_raw,holding_name,sec_type,corp_code,common_ticker,etf_isin,match_rule,source
000000,창고증권(구리),,,,,,derived:etf_holding+company_master+PREF01N001
000012,신한은행29-02-이-1.5-A,,,,,,derived:etf_holding+company_master+PREF01N001
000013,신한은행29-08-이-1-B,,,,,,derived:etf_holding+company_master+PREF01N001
000020,동화약품,stock,00119195,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000050,경방,stock,00101628,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000070,삼양홀딩스,stock,00126937,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000080,하이트진로,stock,00150244,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000100,유한양행,stock,00145109,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000120,CJ대한통운,stock,00113410,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000140,하이트진로홀딩스,stock,00148993,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000150,두산,stock,00117212,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000155,두산우,stock_pref,00117212,000150,,pref_suffix_to_common,derived:etf_holding+company_master+PREF01N001
000180,성창기업지주,stock,00133335,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000210,DL,stock,00109693,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000220,유유제약,stock,00144818,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000230,일동홀딩스,stock,00146083,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000240,한국앤컴퍼니,stock,00160047,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000250,삼천당제약,stock,00128546,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000270,기아,stock,00106641,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000320,노루홀딩스,stock,00113508,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000370,한화손해보험,stock,00135917,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000390,SP삼화,stock,00129387,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000400,롯데손해보험,stock,00113562,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000430,대원강업,stock,00111847,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000480,CR홀딩스,stock,00148984,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000490,대동,stock,00109286,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000500,가온전선,stock,00104768,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000520,삼일제약,stock,00128032,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000540,흥국화재,stock,00103176,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000590,CS홀딩스,stock,00149026,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000640,동아쏘시오홀딩스,stock,00116824,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000650,천일고속,stock,00151395,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000660,SK하이닉스,stock,00164779,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
000670,영풍,stock,00141307,,,stock_code_exact,derived:etf_holding+company_master+PREF01N001
